HID,"Lat,Lng"
HID525,"15.5201916,73.7672116"
HID526,"15.5629363757,73.7618360211"
HID527,"15.4568591,73.8038889"
HID528,"15.2993265,74.123996"
HID529,"15.5451110021,73.7728519246"
HID530,"15.5201916,73.7672116"
HID531,"15.5629363757,73.7618360211"
HID532,"15.4568591,73.8038889"
HID533,"15.2993265,74.123996"
HID534,"15.5451110021,73.7728519246"
HID535,"15.5201916,73.7672116"
HID536,"15.5629363757,73.7618360211"
HID537,"15.4568591,73.8038889"
HID538,"15.2993265,74.123996"
HID539,"15.5451110021,73.7728519246"
HID540,"15.5201916,73.7672116"
HID541,"15.5629363757,73.7618360211"
HID542,"15.5609234692,73.7497587248"
HID543,"15.1573147,73.9462689"
HID544,"15.5609234692,73.7497587248"
HID545,"15.1573147,73.9462689"
HID546,"15.5609234692,73.7497587248"
HID547,"15.1573147,73.9462689"
HID548,"15.5609234692,73.7497587248"
HID549,"15.1573147,73.9462689"
HID550,"15.6404124,73.7223316"
HID551,"15.6404124,73.7223316"
HID552,"15.6404124,73.7223316"
HID553,"15.6404124,73.7223316"
HID554,"15.6657393952,73.7127158545"
HID555,"15.0118624751,74.0231978129"
HID556,"15.6657393952,73.7127158545"
HID557,"15.0118624751,74.0231978129"
HID558,"15.6657393952,73.7127158545"
HID559,"15.0118624751,74.0231978129"
HID560,"15.6657393952,73.7127158545"
HID561,"15.0118624751,74.0231978129"
HID562,"15.4883720172,73.8122052953"
HID563,"15.5864219666,73.7580718994"
HID564,"15.5354983,73.8097154"
HID565,"15.4883720172,73.8122052953"
HID566,"15.5864219666,73.7580718994"
HID567,"15.5354983,73.8097154"
HID568,"15.4883720172,73.8122052953"
HID569,"15.5864219666,73.7580718994"
HID570,"15.5354983,73.8097154"
HID571,"15.4883720172,73.8122052953"
HID572,"15.5864219666,73.7580718994"
HID573,"15.5354983,73.8097154"
HID574,"15.0099648,74.0232186"
HID575,"15.0099648,74.0232186"
HID576,"15.0099648,74.0232186"
HID577,"15.0099648,74.0232186"
HID578,"15.5182584141,73.7664328516"
HID579,"15.5182584141,73.7664328516"
HID580,"15.5182584141,73.7664328516"
HID581,"15.5182584141,73.7664328516"
HID582,"15.2173678,73.9413951"
HID583,"15.2173678,73.9413951"
HID584,"15.2173678,73.9413951"
HID585,"15.2173678,73.9413951"
HID586,"15.5049283,73.7919103"
HID587,"15.5754515089,73.7606156365"
HID588,"15.540995,73.7843966"
HID589,"15.5568770504,73.7556864068"
HID590,"15.2993265,74.123996"
HID591,"15.3162262,73.9080581"
HID592,"15.5049283,73.7919103"
HID593,"15.5754515089,73.7606156365"
HID594,"15.540995,73.7843966"
HID595,"15.5568770504,73.7556864068"
HID596,"15.2993265,74.123996"
HID597,"15.3162262,73.9080581"
HID598,"15.5049283,73.7919103"
HID599,"15.5754515089,73.7606156365"
HID600,"15.540995,73.7843966"
HID601,"15.5568770504,73.7556864068"
HID602,"15.2993265,74.123996"
HID603,"15.3162262,73.9080581"
HID604,"15.5049283,73.7919103"
HID605,"15.5754515089,73.7606156365"
HID606,"15.540995,73.7843966"
HID607,"15.5568770504,73.7556864068"
HID608,"15.2993265,74.123996"
HID609,"15.3162262,73.9080581"
HID610,"15.5825144,73.7494405"
HID611,"15.5825144,73.7494405"
HID612,"15.5825144,73.7494405"
HID613,"15.5825144,73.7494405"
HID614,"15.4997551,73.8294565"
HID615,"15.5590982231,73.7540979192"
HID616,"15.4997551,73.8294565"
HID617,"15.5590982231,73.7540979192"
HID618,"15.4997551,73.8294565"
HID619,"15.5590982231,73.7540979192"
HID620,"15.4997551,73.8294565"
HID621,"15.5590982231,73.7540979192"
HID622,"15.6665843044,73.7123520181"
HID623,"15.6665843044,73.7123520181"
HID624,"15.6665843044,73.7123520181"
HID625,"15.6665843044,73.7123520181"
HID626,"15.6191553,73.7355242"
HID627,"15.6191553,73.7355242"
HID628,"15.6191553,73.7355242"
HID629,"15.6191553,73.7355242"
HID630,"15.560346448,73.7519899539"
HID631,"15.560346448,73.7519899539"
HID632,"15.560346448,73.7519899539"
HID633,"15.560346448,73.7519899539"
HID634,"15.5557296988,73.7561286024"
HID635,"15.5551519,73.7565688"
HID636,"15.5077131983,73.8033057258"
HID637,"15.5557296988,73.7561286024"
HID638,"15.5551519,73.7565688"
HID639,"15.5077131983,73.8033057258"
HID640,"15.5557296988,73.7561286024"
HID641,"15.5551519,73.7565688"
HID642,"15.5077131983,73.8033057258"
HID643,"15.5557296988,73.7561286024"
HID644,"15.5551519,73.7565688"
HID645,"15.5077131983,73.8033057258"
HID646,"15.57509422,73.74112701"
HID647,"15.57509422,73.74112701"
HID648,"15.57509422,73.74112701"
HID649,"15.57509422,73.74112701"
HID650,"15.5358751,73.7619433"
HID651,"15.5358751,73.7619433"
HID652,"15.5358751,73.7619433"
HID653,"15.5358751,73.7619433"
HID654,"15.6497205,73.7162161"
HID655,"15.6497205,73.7162161"
HID656,"15.6497205,73.7162161"
HID657,"15.6497205,73.7162161"
HID658,"15.5342737,73.7586933"
HID659,"15.5342737,73.7586933"
HID660,"15.5342737,73.7586933"
HID661,"15.5342737,73.7586933"
HID662,"15.2950611555,73.9099806046"
HID663,"15.2950611555,73.9099806046"
HID664,"15.2950611555,73.9099806046"
HID665,"15.2950611555,73.9099806046"
HID666,"15.5613112508,73.7533435247"
HID667,"15.5613112508,73.7533435247"
HID668,"15.5613112508,73.7533435247"
HID669,"15.5613112508,73.7533435247"
HID670,"15.4974,73.7671"
HID671,"15.4974,73.7671"
HID672,"15.4974,73.7671"
HID673,"15.4974,73.7671"
HID674,"15.4955931921,73.8314768735"
HID675,"15.4955931921,73.8314768735"
HID676,"15.4955931921,73.8314768735"
HID677,"15.4955931921,73.8314768735"
HID678,"15.287592961,73.9548142418"
HID679,"15.287592961,73.9548142418"
HID680,"15.287592961,73.9548142418"
HID681,"15.287592961,73.9548142418"
HID682,"15.2171871706,73.932863881"
HID683,"15.2171871706,73.932863881"
HID684,"15.2171871706,73.932863881"
HID685,"15.2171871706,73.932863881"
HID686,"15.5467146517,73.7607860873"
HID687,"15.5467146517,73.7607860873"
HID688,"15.5467146517,73.7607860873"
HID689,"15.5467146517,73.7607860873"
HID690,"15.49755,73.835788"
HID691,"15.49755,73.835788"
HID692,"15.49755,73.835788"
HID693,"15.49755,73.835788"
HID694,"15.5164514167,73.7641937539"
HID695,"15.5164514167,73.7641937539"
HID696,"15.5164514167,73.7641937539"
HID697,"15.5164514167,73.7641937539"
HID698,"15.2781133,73.9154433"
HID699,"15.2781133,73.9154433"
HID700,"15.2781133,73.9154433"
HID701,"15.2781133,73.9154433"
HID702,"15.5376392,73.7847373"
HID703,"15.5376392,73.7847373"
HID704,"15.5376392,73.7847373"
HID705,"15.5376392,73.7847373"
HID706,"15.5748585,73.806533"
HID707,"15.5748585,73.806533"
HID708,"15.5748585,73.806533"
HID709,"15.5748585,73.806533"
HID710,"15.2056881003,73.9369480711"
HID711,"15.2056881003,73.9369480711"
HID712,"15.2056881003,73.9369480711"
HID713,"15.2056881003,73.9369480711"
HID714,"15.629444,73.735833"
HID715,"15.629444,73.735833"
HID716,"15.629444,73.735833"
HID717,"15.629444,73.735833"
HID718,"15.5543466776,73.7541057459"
HID719,"15.5543466776,73.7541057459"
HID720,"15.5543466776,73.7541057459"
HID721,"15.5543466776,73.7541057459"
HID722,"15.3200744383,73.9183885858"
HID723,"15.3200744383,73.9183885858"
HID724,"15.3200744383,73.9183885858"
HID725,"15.3200744383,73.9183885858"
HID726,"15.5506439,73.7676218"
HID727,"15.5506439,73.7676218"
HID728,"15.5506439,73.7676218"
HID729,"15.5506439,73.7676218"
HID730,"15.5395689011,73.7686462402"
HID731,"15.5395689011,73.7686462402"
HID732,"15.5395689011,73.7686462402"
HID733,"15.5395689011,73.7686462402"
HID734,"15.64883232,73.71673584"
HID735,"15.64883232,73.71673584"
HID736,"15.64883232,73.71673584"
HID737,"15.64883232,73.71673584"
HID738,"15.5003650102,73.826564912"
HID739,"14.9979373705,74.0396227632"
HID740,"15.5003650102,73.826564912"
HID741,"14.9979373705,74.0396227632"
HID742,"15.5003650102,73.826564912"
HID743,"14.9979373705,74.0396227632"
